,link,description
68,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/522/93/1205-i-have-several-accounts-can-i-select-the-account-for-income-from-a-payment-collection-project,12.05. I have several accounts. Can I select the account for income from a payment collection project?
69,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/95/13-payment-collection-payments-via-e-banking,13. Payment Collection. Payments via E-banking
70,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/547/95/1301-a-client-has-paid-for-a-product--service-where-can-i-see-the-payment,13.01 A client has paid for a product / service. Where can I see the payment?
71,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/548/95/1302-can-i-transfer-a-received-payment-to-another-bank-account,13.02 Can I transfer a received payment to another bank account?
72,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/549/95/1303-my-website-is-operating-in-several-countries-but-i-want-to-receive-payments-only-in-one-currency-where-can-i-change-the-settings,"13.03 My website is operating in several countries, but I want to receive payments only in one currency. Where can I change the settings?"
73,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/552/95/1304-how-can-i-change-the-email-address-and-phone-number-which-are-displayed-to-clients-in-the-payment-confirmation-letter,13.04 How can I change the email address and phone number which are displayed to clients in the payment confirmation letter?
74,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/553/95/1305-how-can-i-receive-an-email-notification-after-each-successful-payment-on-my-website,13.05 How can I receive an email notification after each successful payment on my website?
75,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/353/131-payment-initiation-service-pis,13.1 Payment initiation service (PIS)
76,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3323/353/13101-what-is-a-payment-initiation-service-pis,13.1.01 What is a payment initiation service (PIS)? 
77,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3324/353/13102-how-much-does-this-service-cost,13.1.02 How much does this service cost?
78,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3325/353/13103-how-does-this-payment-method-work,13.1.03 How does this payment method work?
79,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3326/353/13104-is-it-safe-to-pay-by-pis,13.1.04 Is it safe to pay by PIS?
80,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3327/353/13105-what-are-the-benefits-of-the-pis-payment-method-for-the-merchant,13.1.05 What are the benefits of the PIS payment method for the merchant?
81,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/94/14-collection-of-payments-sms-payments,14. Collection of payments. SMS payments
82,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/534/94/1401-countries-available-for-sms-payments,14.01 Countries available for SMS payments
83,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/535/94/1402-response-message-to-sms-keyword,14.02 Response message to SMS keyword
84,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/536/94/1403-where-can-i-check-whether-a-client-has-paid-via-sms,14.03 Where can I check whether a client has paid via SMS?
85,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/537/94/1404-when-will-income-from-collected-sms-messages-be-paid-out,14.04 When will income from collected SMS messages be paid out?
86,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/538/94/1405-can-i-expedite-payout-for-collected-messages,14.05 Can I expedite payout for collected messages?
87,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/329/152-delivery-integrations,15.2 Delivery Integrations
88,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3441/329/opencart-delivery,Opencart delivery
89,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3548/329/prestashop-delivery,Prestashop delivery
90,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3098/329/wordpress-delivery,Wordpress delivery
91,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/35/151-checkout-integrations,15.1 Checkout Integrations
92,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1067/35/abantecart,AbanteCart
93,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/108/35/avactis,Avactis
94,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2489/35/cloudcart,Cloudcart
95,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/110/35/cms-made-simple,CMS Made Simple
96,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/95/35/cs-cart,CS-Cart
97,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/97/16-technical-questions,16. Technical questions
98,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/567/97/1601-technical-specifications-for-the-system-installation,16.01. Technical Specifications for the System Installation
99,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/568/97/1602-i-have-installed-your-system-but-when-i-check-it-an-error-is-displayed-how-can-i-find-out-the-reason-of-this-error,"16.02. I have installed your system, but when I check it an error is displayed. How can I find out the reason of this error?"
100,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/569/97/1603-cms-plugins,16.03. CMS Plugins
101,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/570/97/1604-project-password--code,16.04. Project Password / Code
102,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/571/97/1605-i-have-created-an-e-shop-on-the-basis-of-the-cms-how-can-i-install-the-payment-platform,16.05. I have created an e-shop on the basis of the CMS. How can I install the payment platform?
103,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/169/17-client-claims,17. Client Claims
104,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1481/169/1701-rules-of-client-claims-complaints-filing-and-examination,17.01. Rules of Client Claims (Complaints) Filing and Examination
105,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/198/18-personal-data-protection,18. Personal data protection
106,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1691/198/1801-the-right-of-access-to-personal-data,18.01. THE RIGHT OF ACCESS TO PERSONAL DATA
107,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/227/19-open-banking,19. Open Banking
108,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1962/227/1901-what-is-open-banking,19.01. What is Open Banking?
109,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1963/227/1902-what-is-psd2,19.02. What Is PSD2?
110,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1964/227/1903-what-is-api,19.03. What is API?
111,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1965/227/1904-where-can-i-learn-more-about-psd2,19.04. Where can I learn more about PSD2?
112,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1966/227/1905-what-is-pisp,19.05. What is PISP?
113,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/260/20-escrow-account,20. Escrow account
114,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2091/260/2001-what-is-the-escrow-account,20.01. What is the Escrow account?
115,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2092/260/2002-what-are-the-benefits-of-the-escrow-account,20.02. What are the benefits of the Escrow account?
116,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2093/260/2003-for-which-transactions-can-the-escrow-account-be-used,20.03. For which transactions can the Escrow account be used?
117,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2094/260/2004-how-does-the-escrow-account-service-work,20.04. How does the Escrow account service work?
118,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2095/260/2005-who-can-use-the-escrow-account,20.05. Who can use the Escrow account?
119,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/261/21-gold-trading-online,21. Gold trading online
120,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2100/261/2101-what-is-gold,21.01. What is gold?
121,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2101/261/2102-what-is-the-price-of-gold,21.02. What is the price of gold?
122,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2102/261/2103-why-is-it-worth-buying-gold,21.03. Why is it worth buying gold?
123,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2103/261/2104-how-to-buy-gold-online,21.04. How to buy gold online?
124,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2104/261/2105-what-is-the-minimum-quantity-of-gold-you-can-buy,21.05. What is the minimum quantity of gold you can buy?
125,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/281/22-apple-pay,22. Apple Pay
126,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2387/281/2201-how-to-add-your-paysera-visa-card-to-apple-pay,22.01 How to add your Paysera Visa card to Apple Pay?
127,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2388/281/2202-where-can-i-pay-using-apple-pay,22.02 Where can I pay using Apple Pay? 
128,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2389/281/2203-how-to-pay-with-paysera-visa-and-apple-pay,22.03 How to pay with Paysera Visa and Apple Pay?
129,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2390/281/2204-can-i-pay-abroad-using-apple-pay,22.04 Can I pay abroad using Apple Pay?
130,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2391/281/2205-does-it-cost-to-use-apple-pay,22.05 Does it cost to use Apple Pay?
131,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/369/23-delivery-service,23. Delivery service
132,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3487/369/2301-what-is-the-delivery-service,23.01 What is the delivery service?
133,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3488/369/2302-how-does-the-delivery-service-work,23.02 How does the delivery service work?
134,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3489/369/2303-what-are-the-benefits-of-the-delivery-service,23.03 What are the benefits of the delivery service? 
135,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3490/369/2304-how-much-does-the-delivery-service-cost,23.04 How much does the delivery service cost?
136,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3491/369/2305-how-do-i-view-my-bills-and-invoices,23.05 How do I view my bills and invoices?
137,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/List/Index/244/24-contacts,24. Contacts
138,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/2014/244/contacts,Contacts
139,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3639/0/sitepro,Site.pro
140,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3549/0/zyro,Zyro
141,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3550/0/zyro,Zyro
142,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1089/0/105-account-closure-paysera-account-deletion,1.05 Account closure. Paysera account deletion. 
143,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/96/0/wordpress,Wordpress
144,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/93/0/prestashop,PrestaShop
145,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/98/0/opencart,OpenCart
146,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/1689/0/wixcom,WiX.com
147,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3641/0/730-i-received-a-suspicious-call-what-should-i-do,"7.30 I received a suspicious call, what should I do?"
148,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3639/0/sitepro,Site.pro
149,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3632/0/2321-main-information-before-confirming-order,23.21 Main information before confirming order
150,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3625/0/1018-how-to-sell-tickets-at-physical-locations,10.18. How to sell tickets at physical locations?
151,https://support.paysera.com/index.php?/payseraeng/Knowledgebase/Article/View/3550/0/zyro,Zyro
